ex,"caes0010-11, caes0011-10, caes0003-12, caes0044-6, caes0122-9",ex,ADP,w-ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extinctori,maay0001-12,extinctor,NOUN,w-extinctori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,masa0941-26,f,X,w-f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facere,caes0044-12,facio,VERB,w-facere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecerunt,caes0146-31,fecerunt,NOUN,w-fecerunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecit,"caes0122-8, caes0051-6, caes0052-6",facio,VERB,w-fecit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecit,"caes0163-3, emma0001-22",fecit,NOUN,w-fecit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felici,kara0001-8,Felicus,PROPN,w-Felici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felici,"caes0006-7, caes0009-13, caes0017-10, caes0106-8, bshe0006-11, caes0014-10, caes0107-12, ashk0003a-16",Felix,PROPN,w-Felici,,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
felici,"caes0006-7, caes0009-13, caes0017-10, caes0106-8, bshe0006-11, caes0014-10, caes0107-12, ashk0003a-16",felix,ADJ,w-felici,,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
felicia,caes0683-5,felix,ADJ,w-felicia,,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
felicibus,ashk0003b-13,felix,ADJ,w-felicibus,,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felicissimo,caes0009-1,Felicissimus,PROPN,w-Felicissimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feliciter,bshe0006-26,feliciter,NOUN,w-feliciter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felix,unkn0131-7,felix,ADJ,w-felix,,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermilianus,bshe0006-16,Fermilianus,PROPN,w-Fermilianus,,,,y,m,other,Fermilianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrata,megi0002-23,Ferrata,PROPN,w-Ferrata,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Ferratae,"caes0146-8, gado0001-4",Ferrata,PROPN,w-Ferratae,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
ferratae,"caes0049-9, caes0054-10",ferratae,NOUN,w-ferratae,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
