א,"unkn0102-1, jeru0492-5, jord0001-419",א,X,w-א,UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
באלף,jeru0449-4,אָלֶף,X,w-באלף,PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בגדולות,jord0001-47,גָּדוֹל,NOUN,w-בגדולות,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE ADJECTIVE FEMININE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בגדלות,jord0001-190,גָּדוֹל,NOUN,w-בגדלות,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בגטה,jeru0492-29,גֵּט,NOUN,w-בגטה,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,y,writ,,,,,
בה,"masa0450-4, masa0449-4, jeru0534-3, masa0451-4",בְּ,PREP,w-בה,PREPOSITION SUF_PRONOMINAL SUF_TYPE_NOMINATIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בוטא,unkn0100-1,בוטא,PROPN,w-בוטא,VERB MASCULINE SINGULAR PERSON_3 PAST PASSIVE UNSPECIFIED,,,y,m,Jewish,Buta,,,,,,,,,,,,,,,,,,,,,,,,,,,
בטוחין,jord0001-318,בטח,VERB,w-בטוחין,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE ADJECTIVE MASCULINE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בירבי,beth0238-3,,NOUN,w-בירבי,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,y,religious,rabbi,,,,,y,son,,,,,,,y,rabbi,,,,,y,rabbi,,,
בירושלם,jeru0492-17,יְרוּשָׁלַיִם,PROPN,w-בירושלם,PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,Jerusalem,https://pleiades.stoa.org/places/687928,,,,,,,,,,,,,,
ביריחו,,יְרֵחֽוֹ,PROPN,w-ביריחו,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,y,Jericho,https://pleiades.stoa.org/places/687917,,,,,,,,,,,,,,
בית,dabb0006-2,בַּיִת,NOUN,w-בית,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,house of study,,,,,,,,,,,y,house of study,,,
בכול,jord0001-233,כֹּל,NOUN,w-בכול,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_DEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בכל,huqo0001-7,כֹּל,NOUN,w-בכל,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_DEFINITE DET_QUANTIFIER UNSPECIFIED UNSPECIFIED ABSOLUTECONSTRUCT UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בל,,,,w-בל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בלסנה,masa0544-2,,NOUN,w-בלסנה,VERB FEMININE PLURAL PERSON_2 IMPERATIVE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,balsam,,,,,
במ,jeru0492-26,,,w-במ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
